"guildID","userID","globalPoints","weeklyPoints","uLevel"
"1026557557030006855","513189534356209664",203712,21182,101
"1026557557030006855","319449278630330368",182514,80,96
"1026557557030006855","480342964950794262",170361,2495,93
"1026557557030006855","216316283812052995",160732,6455,90
"1026557557030006855","357637064419704835",124177,265,79
"1026557557030006855","936285037421293609",84421,308,65
"1026557557030006855","1117482082684391435",71373,5016,60
"1026557557030006855","469155840969146368",63812,8,57
"1026557557030006855","926191807333797909",58402,11022,55
"1026557557030006855","399528694940434434",53660,311,52
"1026557557030006855","885030357907427348",48245,49,50
"1026557557030006855","1295829836379455621",46278,687,49
"1026557557030006855","754512311754162216",45194,14601,48
"1026557557030006855","480399282328043540",42422,0,47
"1026557557030006855","265246806978461696",42215,7,46
"1026557557030006855","464918402146893825",37848,277,44
"1026557557030006855","705120910168031473",36866,748,43
"1026557557030006855","795738706584535100",35982,2,43
"1026557557030006855","434453582536900618",35517,0,43
"1026557557030006855","798646623680331826",31403,67,40
"1026557557030006855","908604274957766706",30871,5036,40
"1026557557030006855","1116827933424767107",27288,1023,37
"1026557557030006855","1150229777584767068",26592,20,37
"1026557557030006855","815046514190712843",20871,30,33
"1026557557030006855","1261882298005983292",17456,407,30
"1026557557030006855","1147178661976490015",17203,1,30
"1026557557030006855","710850540229230663",14375,1,27
"1026557557030006855","563099767786438666",13812,164,27
"1026557557030006855","757051759796420709",12695,13,26
"1026557557030006855","771829895579566082",12590,6,26
"1026557557030006855","502528776157003797",12579,8,26
"1026557557030006855","1178834661003251762",11356,1574,24
"1026557557030006855","438082632551628803",10938,22,24
"1026557557030006855","200732358817611777",10883,0,24
"1026557557030006855","1029277569708724284",10193,11,23
"1026557557030006855","682434222237286417",10092,3584,23
"1026557557030006855","711245480222523444",10034,0,23
"1026557557030006855","823677243913273374",9909,935,23
"1026557557030006855","991936159708090468",9761,6,23
"1026557557030006855","891483026960318535",8748,17,21
"1026557557030006855","1166207776452788257",8717,0,21
"1026557557030006855","819434438052020224",7322,10,20
"1026557557030006855","541085003979685952",7264,0,20
"1026557557030006855","1077070603951013918",6904,17,19
"1026557557030006855","1200192735370547270",6028,0,18
"1026557557030006855","978420517868564530",5830,0,18
"1026557557030006855","1222009982334144592",5446,367,17
"1026557557030006855","829566135358717982",5445,172,17
"1026557557030006855","920861484685361203",4746,1582,16
"1026557557030006855","1056672632017276958",4566,19,16
"1026557557030006855","276471673488932867",4297,50,15
"1026557557030006855","995378510480814090",4237,6,15
"1026557557030006855","793652283229339678",4140,594,15
"1026557557030006855","918197943549456406",4082,1361,15
"1026557557030006855","926090752650530856",3955,0,15
"1026557557030006855","301085593667108864",3679,0,14
"1026557557030006855","659501131214356490",3416,12,14
"1026557557030006855","1007842763330551829",3374,0,13
"1026557557030006855","909520916063617034",3160,0,13
"1026557557030006855","681188081138925618",3039,2,13
"1026557557030006855","499603328301531166",2921,0,13
"1026557557030006855","403682074076119040",2511,0,12
"1026557557030006855","830838421223899136",2465,0,12
"1026557557030006855","176190044363554816",2456,0,12
"1026557557030006855","981706097717030962",2455,0,12
"1026557557030006855","1119709976978530414",2455,0,12
"1026557557030006855","1376725775503589406",2375,621,11
"1026557557030006855","897586776124837899",2218,3,11
"1026557557030006855","635569499973615621",2157,0,11
"1026557557030006855","1230365818118864898",2059,31,11
"1026557557030006855","588911660165758988",2051,0,11
"1026557557030006855","732461456041312320",2036,0,11
"1026557557030006855","1463369702452629576",1935,5,10
"1026557557030006855","685662368956416009",1876,0,10
"1026557557030006855","264125435028307968",1827,14,10
"1026557557030006855","415666518882385923",1664,0,10
"1026557557030006855","1168691810563006501",1657,0,10
"1026557557030006855","500283068284796930",1655,0,10
"1026557557030006855","909613754898083870",1593,0,9
"1026557557030006855","1142544724884992042",1486,0,9
"1026557557030006855","1188161552793219158",1433,0,9
"1026557557030006855","792199614680793098",1433,0,9
"1026557557030006855","1314312217167925270",1424,318,9
"1026557557030006855","902329628633481287",1400,0,9
"1026557557030006855","1164025985629421629",1353,0,9
"1026557557030006855","566076816398221333",1341,1,9
"1026557557030006855","669250315576672256",1337,0,9
"1026557557030006855","313753770276290571",1324,0,9
"1026557557030006855","658520890262290471",1315,0,9
"1026557557030006855","1006091266997620817",1298,0,8
"1026557557030006855","1192928352521175142",1228,0,8
"1026557557030006855","1158531884897271828",1078,0,8
"1026557557030006855","624078780184526850",1068,90,8
"1026557557030006855","1317120318598287395",1053,5,8
"1026557557030006855","461602597900648458",1046,31,8
"1026557557030006855","1178465469515190343",1042,0,8
"1026557557030006855","246280600762318848",1033,0,8
"1026557557030006855","913900270944124938",1016,0,8
"1026557557030006855","798600657619779614",1015,0,8
"1026557557030006855","1069665429045379122",1015,0,8
"1026557557030006855","720373546093903983",1011,20,7
"1026557557030006855","1013406777058009088",988,0,7
"1026557557030006855","911682334187720714",958,0,7
"1026557557030006855","786731091302023249",949,0,7
"1026557557030006855","740382902218653828",948,0,7
"1026557557030006855","1271719853689933917",916,0,7
"1026557557030006855","1280340530345148491",889,0,7
"1026557557030006855","955861404735406110",864,20,7
"1026557557030006855","1245818211002351646",858,195,7
"1026557557030006855","1250647243136958515",822,0,7
"1026557557030006855","736847595137400882",818,0,7
"1026557557030006855","1052341792059695174",818,1,7
"1026557557030006855","1006267209024290857",818,3,7
"1026557557030006855","546089407963332608",794,7,7
"1026557557030006855","346826536864710676",788,0,7
"1026557557030006855","1165370941191241852",777,3,7
"1026557557030006855","604359366757449730",773,0,7
"1026557557030006855","968583442902159411",773,0,7
"1026557557030006855","662304340228440085",768,0,7
"1026557557030006855","861354602972446730",750,20,6
"1026557557030006855","736257770059202670",727,0,6
"1026557557030006855","909503487006625792",724,0,6
"1026557557030006855","918910089279180860",718,0,6
"1026557557030006855","512433537438449666",716,0,6
"1026557557030006855","1153243569914658846",672,15,6
"1026557557030006855","1011082182070124614",634,0,6
"1026557557030006855","1013171297884307526",633,0,6
"1026557557030006855","1258443039865569281",600,0,6
"1026557557030006855","698295291857862716",597,0,6
"1026557557030006855","798683199920144384",561,7,6
"1026557557030006855","890975623168811038",559,0,6
"1026557557030006855","1279619104776655042",556,0,6
"1026557557030006855","712197322871668756",553,0,6
"1026557557030006855","989934164570677269",550,1,6
"1026557557030006855","982800555736969267",548,0,6
"1026557557030006855","1221454288522313792",546,0,6
"1026557557030006855","1002276850669719613",543,7,6
"1026557557030006855","1189014455309320273",541,0,6
"1026557557030006855","764577886245748766",539,176,6
"1026557557030006855","898319230796181565",538,0,6
"1026557557030006855","103145663314808832",535,0,6
"1026557557030006855","1017212385242652672",535,0,6
"1026557557030006855","570004740382130199",535,0,6
"1026557557030006855","1190790692956541008",519,0,5
"1026557557030006855","1211863407842566174",517,0,5
"1026557557030006855","1248345301236842639",472,0,5
"1026557557030006855","1223425416736411813",468,1,5
"1026557557030006855","994330968951365694",445,0,5
"1026557557030006855","865192146074992680",409,0,5
"1026557557030006855","767654286170783744",406,0,5
"1026557557030006855","1074310487145201674",401,0,5
"1026557557030006855","1009969130033643581",390,5,5
"1026557557030006855","148910648082825216",367,15,5
"1026557557030006855","863143596450250773",367,0,5
"1026557557030006855","1198433254001365022",362,124,5
"1026557557030006855","397370593533493258",351,12,4
"1026557557030006855","1180311222202159104",347,1,4
"1026557557030006855","899646197973794817",346,0,4
"1026557557030006855","757406016634617947",345,0,4
"1026557557030006855","1181384326244487188",335,0,4
"1026557557030006855","875835860749279313",331,0,4
"1026557557030006855","1321330633531981857",318,92,4
"1026557557030006855","1151267309575471104",317,10,4
"1026557557030006855","1154180742478319646",315,10,4
"1026557557030006855","1281260327044120658",313,60,4
"1026557557030006855","716130151615954965",310,0,4
"1026557557030006855","727969672623947866",309,111,4
"1026557557030006855","691384021288222850",304,1,4
"1026557557030006855","987213669706399795",300,0,4
"1026557557030006855","1270398855560695918",286,0,4
"1026557557030006855","1165559836101070950",271,1,4
"1026557557030006855","759970108146974721",265,0,4
"1026557557030006855","1231937766116294717",256,1,4
"1026557557030006855","145984364474400768",255,0,4
"1026557557030006855","321765027709321217",255,0,4
"1026557557030006855","621126755121496109",250,1,4
"1026557557030006855","1427061507132493965",246,82,4
"1026557557030006855","1224414184381481020",244,0,4
"1026557557030006855","1056516675199057950",243,1,4
"1026557557030006855","996635698494980177",243,1,4
"1026557557030006855","1170911566602981406",241,0,4
"1026557557030006855","1249451504406888580",239,0,4
"1026557557030006855","740667423363039232",236,57,4
